"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 20:26:26 GMT 2023","Thu Jul 13 20:26:26 GMT 2023","433","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbilityRepeated","testAddAbilityRepeated",""
"passed","Thu Jul 13 20:26:29 GMT 2023","Thu Jul 13 20:26:29 GMT 2023","105","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testDeleteSkill","testDeleteSkill",""
"passed","Thu Jul 13 20:26:19 GMT 2023","Thu Jul 13 20:26:26 GMT 2023","7172","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbility","testAddAbility",""
"passed","Thu Jul 13 20:26:26 GMT 2023","Thu Jul 13 20:26:27 GMT 2023","317","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedAbilities","testValidatedAbilities",""
"passed","Thu Jul 13 20:26:27 GMT 2023","Thu Jul 13 20:26:27 GMT 2023","128","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedWithoutToken","testValidatedWithoutToken",""
"passed","Thu Jul 13 20:26:30 GMT 2023","Thu Jul 13 20:26:30 GMT 2023","474","Surefire suite","Surefire test","com.restassured.exercise.RestAssureAuthTest","com.restassured.exercise.RestAssureAuthTest","test1","Valid Autentication Scenario with valid username and password.","Test Description: Login test with valid username and password."
"passed","Thu Jul 13 20:26:32 GMT 2023","Thu Jul 13 20:26:33 GMT 2023","914","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testDeleteComments","testDeleteComments",""
"passed","Thu Jul 13 20:26:27 GMT 2023","Thu Jul 13 20:26:28 GMT 2023","989","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentCreated","testStudentCreated",""
"passed","Thu Jul 13 20:26:30 GMT 2023","Thu Jul 13 20:26:30 GMT 2023","102","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkillsNo","testListSkillsNo",""
"passed","Thu Jul 13 20:26:29 GMT 2023","Thu Jul 13 20:26:30 GMT 2023","142","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkills","testListSkills",""
"passed","Thu Jul 13 20:26:31 GMT 2023","Thu Jul 13 20:26:32 GMT 2023","692","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAssociateComments","testAssociateComments",""
"passed","Thu Jul 13 20:26:29 GMT 2023","Thu Jul 13 20:26:29 GMT 2023","287","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateSpecialCharacters","testValidateSpecialCharacters",""
"passed","Thu Jul 13 20:26:29 GMT 2023","Thu Jul 13 20:26:29 GMT 2023","114","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateWithoutToken","testValidateWithoutToken",""
"passed","Thu Jul 13 20:26:28 GMT 2023","Thu Jul 13 20:26:29 GMT 2023","295","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testUpdatedStudent","testUpdatedStudent",""
"passed","Thu Jul 13 20:26:33 GMT 2023","Thu Jul 13 20:26:33 GMT 2023","297","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testValidatedComments","testValidatedComments",""
"passed","Thu Jul 13 20:26:30 GMT 2023","Thu Jul 13 20:26:30 GMT 2023","122","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testSkillCode","testSkillCode",""
"passed","Thu Jul 13 20:26:28 GMT 2023","Thu Jul 13 20:26:28 GMT 2023","309","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentValidate","testStudentValidate",""
"passed","Thu Jul 13 20:26:30 GMT 2023","Thu Jul 13 20:26:31 GMT 2023","852","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAddComments","testAddComments",""
"passed","Thu Jul 13 20:26:29 GMT 2023","Thu Jul 13 20:26:29 GMT 2023","316","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateCreatedStudent","testValidateCreatedStudent",""
