"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 23:03:01 GMT 2023","Thu Jul 27 23:03:01 GMT 2023","170","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedWithoutToken","testValidatedWithoutToken",""
"passed","Thu Jul 27 23:03:02 GMT 2023","Thu Jul 27 23:03:03 GMT 2023","354","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testUpdatedStudent","testUpdatedStudent",""
"passed","Thu Jul 27 23:03:04 GMT 2023","Thu Jul 27 23:03:04 GMT 2023","138","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testDeleteSkill","testDeleteSkill",""
"passed","Thu Jul 27 23:03:03 GMT 2023","Thu Jul 27 23:03:04 GMT 2023","160","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateWithoutToken","testValidateWithoutToken",""
"passed","Thu Jul 27 23:03:00 GMT 2023","Thu Jul 27 23:03:01 GMT 2023","364","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedAbilities","testValidatedAbilities",""
"passed","Thu Jul 27 23:03:03 GMT 2023","Thu Jul 27 23:03:03 GMT 2023","354","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateCreatedStudent","testValidateCreatedStudent",""
"passed","Thu Jul 27 23:03:05 GMT 2023","Thu Jul 27 23:03:06 GMT 2023","739","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAddComments","testAddComments",""
"passed","Thu Jul 27 23:03:03 GMT 2023","Thu Jul 27 23:03:03 GMT 2023","343","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateSpecialCharacters","testValidateSpecialCharacters",""
"passed","Thu Jul 27 23:03:06 GMT 2023","Thu Jul 27 23:03:08 GMT 2023","1180","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testDeleteComments","testDeleteComments",""
"passed","Thu Jul 27 23:03:08 GMT 2023","Thu Jul 27 23:03:08 GMT 2023","502","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testValidatedComments","testValidatedComments",""
"passed","Thu Jul 27 23:02:55 GMT 2023","Thu Jul 27 23:03:00 GMT 2023","4789","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbility","testAddAbility",""
"passed","Thu Jul 27 23:03:00 GMT 2023","Thu Jul 27 23:03:00 GMT 2023","380","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbilityRepeated","testAddAbilityRepeated",""
"passed","Thu Jul 27 23:03:04 GMT 2023","Thu Jul 27 23:03:04 GMT 2023","138","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkillsNo","testListSkillsNo",""
"passed","Thu Jul 27 23:03:02 GMT 2023","Thu Jul 27 23:03:02 GMT 2023","342","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentValidate","testStudentValidate",""
"passed","Thu Jul 27 23:03:04 GMT 2023","Thu Jul 27 23:03:05 GMT 2023","431","Surefire suite","Surefire test","com.restassured.exercise.RestAssureAuthTest","com.restassured.exercise.RestAssureAuthTest","test1","Valid Autentication Scenario with valid username and password.","Test Description: Login test with valid username and password."
"passed","Thu Jul 27 23:03:04 GMT 2023","Thu Jul 27 23:03:04 GMT 2023","202","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkills","testListSkills",""
"passed","Thu Jul 27 23:03:01 GMT 2023","Thu Jul 27 23:03:02 GMT 2023","1119","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentCreated","testStudentCreated",""
"passed","Thu Jul 27 23:03:06 GMT 2023","Thu Jul 27 23:03:06 GMT 2023","905","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAssociateComments","testAssociateComments",""
"passed","Thu Jul 27 23:03:04 GMT 2023","Thu Jul 27 23:03:04 GMT 2023","190","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testSkillCode","testSkillCode",""
