"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 15:52:40 GMT 2023","Fri Jul 28 15:52:40 GMT 2023","390","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedAbilities","testValidatedAbilities",""
"passed","Fri Jul 28 15:52:31 GMT 2023","Fri Jul 28 15:52:39 GMT 2023","7885","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbility","testAddAbility",""
"passed","Fri Jul 28 15:52:43 GMT 2023","Fri Jul 28 15:52:43 GMT 2023","152","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkills","testListSkills",""
"passed","Fri Jul 28 15:52:45 GMT 2023","Fri Jul 28 15:52:46 GMT 2023","789","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAssociateComments","testAssociateComments",""
"passed","Fri Jul 28 15:52:39 GMT 2023","Fri Jul 28 15:52:40 GMT 2023","429","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbilityRepeated","testAddAbilityRepeated",""
"passed","Fri Jul 28 15:52:40 GMT 2023","Fri Jul 28 15:52:40 GMT 2023","147","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedWithoutToken","testValidatedWithoutToken",""
"passed","Fri Jul 28 15:52:44 GMT 2023","Fri Jul 28 15:52:45 GMT 2023","843","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAddComments","testAddComments",""
"passed","Fri Jul 28 15:52:43 GMT 2023","Fri Jul 28 15:52:43 GMT 2023","145","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkillsNo","testListSkillsNo",""
"passed","Fri Jul 28 15:52:47 GMT 2023","Fri Jul 28 15:52:47 GMT 2023","356","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testValidatedComments","testValidatedComments",""
"passed","Fri Jul 28 15:52:43 GMT 2023","Fri Jul 28 15:52:44 GMT 2023","154","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testSkillCode","testSkillCode",""
"passed","Fri Jul 28 15:52:42 GMT 2023","Fri Jul 28 15:52:42 GMT 2023","348","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testUpdatedStudent","testUpdatedStudent",""
"passed","Fri Jul 28 15:52:42 GMT 2023","Fri Jul 28 15:52:43 GMT 2023","337","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateSpecialCharacters","testValidateSpecialCharacters",""
"passed","Fri Jul 28 15:52:40 GMT 2023","Fri Jul 28 15:52:41 GMT 2023","1141","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentCreated","testStudentCreated",""
"passed","Fri Jul 28 15:52:46 GMT 2023","Fri Jul 28 15:52:47 GMT 2023","1127","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testDeleteComments","testDeleteComments",""
"passed","Fri Jul 28 15:52:43 GMT 2023","Fri Jul 28 15:52:43 GMT 2023","136","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testDeleteSkill","testDeleteSkill",""
"passed","Fri Jul 28 15:52:42 GMT 2023","Fri Jul 28 15:52:42 GMT 2023","350","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateCreatedStudent","testValidateCreatedStudent",""
"passed","Fri Jul 28 15:52:43 GMT 2023","Fri Jul 28 15:52:43 GMT 2023","276","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateWithoutToken","testValidateWithoutToken",""
"passed","Fri Jul 28 15:52:41 GMT 2023","Fri Jul 28 15:52:42 GMT 2023","368","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentValidate","testStudentValidate",""
"passed","Fri Jul 28 15:52:44 GMT 2023","Fri Jul 28 15:52:44 GMT 2023","465","Surefire suite","Surefire test","com.restassured.exercise.RestAssureAuthTest","com.restassured.exercise.RestAssureAuthTest","test1","Valid Autentication Scenario with valid username and password.","Test Description: Login test with valid username and password."
