"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 23:01:53 GMT 2023","Thu Jul 27 23:01:54 GMT 2023","271","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentValidate","testStudentValidate",""
"passed","Thu Jul 27 23:01:57 GMT 2023","Thu Jul 27 23:01:58 GMT 2023","890","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testDeleteComments","testDeleteComments",""
"passed","Thu Jul 27 23:01:51 GMT 2023","Thu Jul 27 23:01:52 GMT 2023","411","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbilityRepeated","testAddAbilityRepeated",""
"passed","Thu Jul 27 23:01:54 GMT 2023","Thu Jul 27 23:01:55 GMT 2023","313","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateSpecialCharacters","testValidateSpecialCharacters",""
"passed","Thu Jul 27 23:01:55 GMT 2023","Thu Jul 27 23:01:56 GMT 2023","353","Surefire suite","Surefire test","com.restassured.exercise.RestAssureAuthTest","com.restassured.exercise.RestAssureAuthTest","test1","Valid Autentication Scenario with valid username and password.","Test Description: Login test with valid username and password."
"passed","Thu Jul 27 23:01:55 GMT 2023","Thu Jul 27 23:01:55 GMT 2023","155","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testSkillCode","testSkillCode",""
"passed","Thu Jul 27 23:01:52 GMT 2023","Thu Jul 27 23:01:52 GMT 2023","130","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedWithoutToken","testValidatedWithoutToken",""
"passed","Thu Jul 27 23:01:55 GMT 2023","Thu Jul 27 23:01:55 GMT 2023","110","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateWithoutToken","testValidateWithoutToken",""
"passed","Thu Jul 27 23:01:58 GMT 2023","Thu Jul 27 23:01:58 GMT 2023","265","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testValidatedComments","testValidatedComments",""
"passed","Thu Jul 27 23:01:52 GMT 2023","Thu Jul 27 23:01:52 GMT 2023","382","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedAbilities","testValidatedAbilities",""
"passed","Thu Jul 27 23:01:56 GMT 2023","Thu Jul 27 23:01:57 GMT 2023","631","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAssociateComments","testAssociateComments",""
"passed","Thu Jul 27 23:01:54 GMT 2023","Thu Jul 27 23:01:54 GMT 2023","293","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testUpdatedStudent","testUpdatedStudent",""
"passed","Thu Jul 27 23:01:56 GMT 2023","Thu Jul 27 23:01:56 GMT 2023","595","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAddComments","testAddComments",""
"passed","Thu Jul 27 23:01:55 GMT 2023","Thu Jul 27 23:01:55 GMT 2023","110","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkillsNo","testListSkillsNo",""
"passed","Thu Jul 27 23:01:54 GMT 2023","Thu Jul 27 23:01:54 GMT 2023","299","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateCreatedStudent","testValidateCreatedStudent",""
"passed","Thu Jul 27 23:01:55 GMT 2023","Thu Jul 27 23:01:55 GMT 2023","117","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testDeleteSkill","testDeleteSkill",""
"passed","Thu Jul 27 23:01:46 GMT 2023","Thu Jul 27 23:01:51 GMT 2023","5382","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbility","testAddAbility",""
"passed","Thu Jul 27 23:01:52 GMT 2023","Thu Jul 27 23:01:53 GMT 2023","924","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentCreated","testStudentCreated",""
"passed","Thu Jul 27 23:01:55 GMT 2023","Thu Jul 27 23:01:55 GMT 2023","172","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkills","testListSkills",""
