"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 11 22:30:59 GMT 2023","Tue Jul 11 22:31:00 GMT 2023","619","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateSpecialCharacters","testValidateSpecialCharacters",""
"passed","Tue Jul 11 22:30:58 GMT 2023","Tue Jul 11 22:30:59 GMT 2023","543","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testUpdatedStudent","testUpdatedStudent",""
"passed","Tue Jul 11 22:30:58 GMT 2023","Tue Jul 11 22:30:58 GMT 2023","349","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentValidate","testStudentValidate",""
"passed","Tue Jul 11 22:30:57 GMT 2023","Tue Jul 11 22:30:58 GMT 2023","182","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedWithoutToken","testValidatedWithoutToken",""
"failed","Tue Jul 11 22:30:57 GMT 2023","Tue Jul 11 22:30:57 GMT 2023","405","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedAbilities","testValidatedAbilities",""
"failed","Tue Jul 11 22:30:58 GMT 2023","Tue Jul 11 22:30:58 GMT 2023","449","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentCreated","testStudentCreated",""
"passed","Tue Jul 11 22:30:59 GMT 2023","Tue Jul 11 22:30:59 GMT 2023","460","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateCreatedStudent","testValidateCreatedStudent",""
"passed","Tue Jul 11 22:31:02 GMT 2023","Tue Jul 11 22:31:03 GMT 2023","970","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAssociateComments","testAssociateComments",""
"passed","Tue Jul 11 22:31:00 GMT 2023","Tue Jul 11 22:31:01 GMT 2023","141","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkills","testListSkills",""
"passed","Tue Jul 11 22:31:01 GMT 2023","Tue Jul 11 22:31:01 GMT 2023","160","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testSkillCode","testSkillCode",""
"failed","Tue Jul 11 22:31:03 GMT 2023","Tue Jul 11 22:31:04 GMT 2023","374","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testDeleteComments","testDeleteComments",""
"passed","Tue Jul 11 22:31:00 GMT 2023","Tue Jul 11 22:31:00 GMT 2023","133","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateWithoutToken","testValidateWithoutToken",""
"passed","Tue Jul 11 22:31:01 GMT 2023","Tue Jul 11 22:31:01 GMT 2023","92","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkillsNo","testListSkillsNo",""
"passed","Tue Jul 11 22:31:04 GMT 2023","Tue Jul 11 22:31:04 GMT 2023","366","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testValidatedComments","testValidatedComments",""
"failed","Tue Jul 11 22:30:56 GMT 2023","Tue Jul 11 22:30:57 GMT 2023","616","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbilityRepeated","testAddAbilityRepeated",""
"passed","Tue Jul 11 22:31:01 GMT 2023","Tue Jul 11 22:31:01 GMT 2023","293","Surefire suite","Surefire test","com.restassured.exercise.RestAssureAuthTest","com.restassured.exercise.RestAssureAuthTest","test1","Valid Autentication Scenario with valid username and password.","Test Description: Login test with valid username and password."
"passed","Tue Jul 11 22:31:00 GMT 2023","Tue Jul 11 22:31:00 GMT 2023","145","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testDeleteSkill","testDeleteSkill",""
"passed","Tue Jul 11 22:31:01 GMT 2023","Tue Jul 11 22:31:02 GMT 2023","1045","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAddComments","testAddComments",""
"failed","Tue Jul 11 22:30:44 GMT 2023","Tue Jul 11 22:30:56 GMT 2023","12776","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbility","testAddAbility",""
